الحساب	البيان
	
1	الأصول
11	الأصول غير المتداولة
1111	أراضى (بالصافى)
1112	مبانى وانشاءات ومرافق وطرق (بالصافى)
11121	مبانى وانشاءات ومرافق وطرق (بالاجمالى)
11122	مجمع إهلاك مبانى وانشاءات ومرافق وطرق (دائن)
1113	آلات ومعدات (بالصافى)
11131	ألات ومعدات (بالاجمالى)
11132	مجمع إهلاك ألات ومعدت (دائن)
1114	وسائل نقل وانتقال (بالصافى)
11141	وسائل نقل وانتقال (بالاجمالى)
11142	مجمع وسائل نقل وانتقال (دائن)
1115	عدد وأدوات (بالصافى)
11151	عدد وأدوات (بالاجمالى)
11152	مجمع إهلاك عدد وأدوات (دائن)
1116	أثاث وتجهيزات مكتبية (بالصافى)
11161	أثاث وتجهيزات مكتبية (بالاجمالى)
11162	مجمع إهلاك أثاث وتجهيزات مكتبية (دائن)
111	الأصول الثابتة (بالصافى)
1121	تكوين استثمارى (بالصافى)
11221	دفعات مقدمة (بالاجمالى)
11222	اعتمادات مستندية لشراء أصول ثابتة (بالاجمالى)
1122	انفاق استثمارى (بالصافى)
112	المشروعات تحت التنفيذ
1141	استثمارات عقارية
11412	استثمارات عقارية محولة من الأصول الثابتة (بالصافى)
114	الاستثمارات غير المتداولة
1151	عملاء غير متداول (بالصافى)
1153	حسابات مدينة غير متداولة لدى اطراف ذوى علاقة (بالصافى)
1154	حسابات مدينة أخرى غير متداولة (بالصافى)
115	العملاء واوراق القبض والحسابات المدينة غير المتداولة
116	القروض غير المتداولة
117	الأصول المستاجرة (حق انتفاع) التامة وتحت التنفيذ
118	الأصول الضريبية المؤجلة
119	الأصول الأخرى غير المتداولة 
12	الأصول المتداولة
121	الأصول غير المتداولة المحتفظ بها بغرض البيع
12211	مخزن خامات
12212	مخزن وقود وزيوت
12213	مخزن قطع غيار ومواد ومهمات
12216	مخزن مخلفات
1221	مخزن خامات ومواد ووقود وقطع غيار
1222	مخزون مواد وقطع غيار تحت التكوين
1223	مخزون انتاج تام (بالصافى)
1224	مخزون انتاج غير تام (بالصافى)
1226	مخزون لدى الغير (بالصافى)
1227	بضائع بالطريق (بالصافى)
1229	اعتمادات مستندية لشراء سلع وخدمات (بالصافى)
122	المخزون
1231	عملاء (بالصافى)
123311	حسابات مدينة لدى شركات قابضة
123313	حسابات مدينة لدى شركات شقيقة
123315	حسابات مدينة لدى اطراف ذوى علاقة أخرى
12331	حسابات مدينة لدى اطراف ذوى علاقة (بالاجمالى)
1233	حسابات مدينة لدى اطراف ذوى علاقة (بالصافى)
123411	مصلحة الجمارك (امانات)
123412	مصلحة الضرائب المصرية - الضريبة على الدخل
123413	مصلحة الضرائب المصرية - الضريبة على القيمة المضافة
12341	حسابات مدينة لدى المصالح والهيئات (بالاجمالى)
1234	حسابات مدينة لدى المصالح والهيئات (بالصافى)
1235	إيرادات مستحقة التحصيل
1236	مصروفات مدفوعة مقدما
1237	حسابات مدينة أخرى (بالصافى)
123	العملاء واوراق القبض والحسابات المدينة 
124	القروض المتداولة (بالصافى)
1281	ودائع بالبنوك
1282	حسابات جارية بالبنوك
1283	نقدية بالصندوق
128	النقدية بالبنوك والصندوق
2	حقوق الملكية
21	رأس المال المدفوع
23	الاحتياطيات
231	احتياطي قانونى
232	احتياطي نظامى
233	احتياطي راسمالى
234	احتياطيات أخرى (تذكر تفصيلاً)
24	الأرباح (الخسائر) المرحلة
241	أرباح (خسائر) مرحلة اول الفترة
2421	أرباح (خسائر) مرحلة نتيجة أخطاء فترات سابقة 
2422	أرباح (خسائر) مرحلة نتيجة تغيير في السياسات المحاسبية
242	أرباح (خسائر) مرحلة نتيجة أخطاء فترات سابقة وتغيير في السياسات المحاسبية
25	صافى أرباح (خسائر) العام
26	بنود الدخل الشامل الآخر
2621	مجمع إعادة قياس نظم مزايا العاملين المحددة
262	بنود الدخل الشامل التي لا يعاد تبويبها الى الأرباح أو الخسائر
3	الالتزامات
31	الالتزامات غير المتداولة
3111	قروض غير متداولة من أطراف ذوى علاقة
3112	قروض غير متداولة من البنوك والجهات الأخرى
3113	قروض وأدوات دين أخرى غير متداولة
311	القروض وأدوات الدين غير المتداولة بالتكلفة المستهلكة
318	الالتزامات الضريبية المؤجلة
31911	أصول مهداه
31912	ضرائب القيمة المضافة المقسطة على السلع الرأسمالية
31913	مديونية البترول
3191	منح مؤجل الاعتراف بها غير متداولة
3192	تامينات للغير غير متداولة
3193	مخصصات غير متداولة
319	الالتزامات الأخرى غير المتداولة
32	الالتزامات المتداولة
3222	مخصص الضرائب المتنازع عليها
3223	مخصص المطالبات والمنازعات
3225	مخصص مكافاة ترك الخدمة
3227	مخصصات أخرى (تحدد اغراضها بصفة قاطعة)
322	المخصصات
3231	بنوك دائنة
3232	التزامات مالية متداولة بالتكلفة المستهلكة
3235	قروض من أطراف ذوى علاقة متداولة
323	الالتزامات المالية المتداولة الأخرى
324111	موردون قطع غيار
324112	موردون وقود
324113	موردون خدمات مشتراه
32411	موردون
3241	موردون واوراق دفع
3242	حسابات دائنة للشركات القابضة/التابعة/ الشقيقة/ المشروعات المشتركة
32431	مصلحة الجمارك
324321	الضرائب على الدخل
324322	الضريبة على القيمة المضافة
32432	مصلحة الضرائب المصرية
32433	مصلحة الضرائب العقارية
32434	الهيئة القومية للتامين الاجتماعى
32435	الهيئة القومية للتامين الصحى الشامل
32436	هيئات تامينية أخرى
3243	حسابات دائنة للمصالح والهيئات
3244	دائنو التوزيعات
3245	إيرادات محصلة مقدما
3246	مصروفات مستحقة السداد
324	الموردون واوراق الدفع والحسابات الدائنة الأخرى
32911	تامين ابتدائى
32912	تامين نهائي
3291	تامينات للغير
3292	دائنون بمبالغ مستقطعة من العاملين
3293	دائنو شراء أصول ثابتة
3296	موازنة تقلبات أسعار عملات اجنبية
3297	متنوعة
329	الحسابات الدائنة الأخرى
4	التكاليف والمصروفات والاعباء والخسائر
41	الخامات والمواد والوقود وقطع الغيار والأجور
4111	خامات ومدخلات انتاج
4112	وقود وزيوت
4113	قطع غيار ومهمات
4115	كهرباء ومياه
4116	أدوات كتابية ومطبوعات
411	الخامات والمواد والوقود وقطع الغيار
4121	أجور نقدية
4122	مزايا عينية
4123	تامينات اجتماعية
4124	مقابل اجازات
4125	مزايا عاملين بعد انتهاء الخدمة
4126	مزايا عاملين أخرى غير متداولة
412	الأجور
42	المصروفات
4211	مصروفات الصيانة
4214	مصروفات دعاية وإعلان ونشر وعلاقات عامة
4215	مصروفات نقل وانتقالات واتصالات
4216	ايجار أصول ثابتة (بخلاف العقارات) مستخدمة في نشاط المنشأة
4217	خدمات الجهات الحكومية والمؤسسات
4218	مصروفات خدمية أخرى
421	الخدمات المشتراه
42211	اهلاك الأصول الثابتة المستخدمة في أغراض المنشاة
42212	اهلاك أصول ثابتة مؤجرة تشغيليا
4221	اهلاك الأصول الثابتة
4223	اهلاك أصول الاستثمار العقارى
422	الاهلاك
4231	مصروفات تمويلية مقابل الاقتراض
42311	مصروفات تمويلية مقابل الاقتراض غير المتداول
42312	مصروفات تمويلية مقابل عقود بنوك دائنة - تسهيلات ائتمانية
42313	مصروفات تمويلية مقابل اقتراض متداول
423	مصروفات تمويلية
424	ايجار عقارات (اراضى ومبانى)
4251	ضرائب عقارية على الأصول المستخدمة في أغراض المنشاة 
4252	ضرائب عقارية على الأصول المؤجرة تشغيليا
425	ضرائب عقارية على الأصول المستخدمة في أغراض المنشاة والمؤجرة تشغيليا
426	ضرائب غير مباشرة على النشاط
